id,title,year,score,url
1,	Running Scared,(1986),59%,https://www.rottentomatoes.com/m/1018009-running_scared
2,	Equilibrium,(2002),41%,https://www.rottentomatoes.com/m/equilibrium
3,	Hero,(2002),94%,https://www.rottentomatoes.com/m/hero
4,	Road House,(1989),37%,https://www.rottentomatoes.com/m/1017666-road_house
5,	Unstoppable,(2010),87%,https://www.rottentomatoes.com/m/unstoppable-2010
6,	Shaft,(1971),86%,https://www.rottentomatoes.com/m/1018699-shaft
7,	The Villainess,(2017),85%,https://www.rottentomatoes.com/m/the_villainess
8,	Highlander,(1986),70%,https://www.rottentomatoes.com/m/highlander
9,	Die Hard 2,(1990),69%,https://www.rottentomatoes.com/m/die_hard_2_1990
10,	National Treasure,(2004),46%,https://www.rottentomatoes.com/m/national_treasure
11,	The Protector,(2005),53%,https://www.rottentomatoes.com/m/protector
12,	Revenge,(2017),93%,https://www.rottentomatoes.com/m/revenge_2018
13,	El Mariachi,(1992),91%,https://www.rottentomatoes.com/m/el_mariachi
14,	A Touch of Zen,(1971),97%,https://www.rottentomatoes.com/m/touch_of_zen
15,	Top Gun,(1986),57%,https://www.rottentomatoes.com/m/top_gun
16,	Con Air,(1997),55%,https://www.rottentomatoes.com/m/con_air
17,	The Expendables 2,(2012),67%,https://www.rottentomatoes.com/m/the_expendables_2
18,	The Mummy,(1999),61%,https://www.rottentomatoes.com/m/1087270-mummy
19,	Mr. & Mrs. Smith,(2005),60%,https://www.rottentomatoes.com/m/mr_and_mrs_smith
20,	Rush Hour,(1998),60%,https://www.rottentomatoes.com/m/rush_hour
21,	The Equalizer,(2014),60%,https://www.rottentomatoes.com/m/the_equalizer_2013
22,	Captain America: Civil War,(2016),90%,https://www.rottentomatoes.com/m/captain_america_civil_war
23,	Air Force One,(1997),78%,https://www.rottentomatoes.com/m/air_force_one
24,	Bloodsport,(1988),46%,https://www.rottentomatoes.com/m/bloodsport
25,	Blade,(1998),57%,https://www.rottentomatoes.com/m/1083484-blade
26,	Bad Boys,(1995),42%,https://www.rottentomatoes.com/m/1062483-bad_boys
27,	Die Hard With a Vengeance,(1995),59%,https://www.rottentomatoes.com/m/die_hard_with_a_vengeance
28,	The Running Man,(1987),66%,https://www.rottentomatoes.com/m/running_man
29,	Code of Silence,(1985),70%,https://www.rottentomatoes.com/m/code_of_silence
30,	Shoot 'Em Up,(2007),67%,https://www.rottentomatoes.com/m/shoot_em_up
31,	Crank,(2006),61%,https://www.rottentomatoes.com/m/crank
32,	Machete,(2010),72%,https://www.rottentomatoes.com/m/machete
33,	Drive,(2011),93%,https://www.rottentomatoes.com/m/drive_2011
34,	Batman,(1989),72%,https://www.rottentomatoes.com/m/1001781-batman
35,	Under Siege,(1992),79%,https://www.rottentomatoes.com/m/under_siege
36,	Independence Day,(1996),68%,https://www.rottentomatoes.com/m/1071806-independence_day
37,	Bullitt,(1968),98%,https://www.rottentomatoes.com/m/bullitt
38,	Wanted,(2008),71%,https://www.rottentomatoes.com/m/1174279-wanted
39,	Superman: The Movie,(1978),94%,https://www.rottentomatoes.com/m/superman_the_movie
40,	Ronin,(1998),69%,https://www.rottentomatoes.com/m/ronin
41,	They Live,(1988),85%,https://www.rottentomatoes.com/m/they_live
42,	Cliffhanger,(1993),67%,https://www.rottentomatoes.com/m/1044214-cliffhanger
43,	Marvel's the Avengers,(2012),91%,https://www.rottentomatoes.com/m/marvels_the_avengers
44,	Hot Fuzz,(2007),91%,https://www.rottentomatoes.com/m/hot_fuzz
45,	The Warriors,(1979),87%,https://www.rottentomatoes.com/m/1023205-warriors
46,	Starship Troopers,(1997),66%,https://www.rottentomatoes.com/m/starship_troopers
47,	Elite Squad 2,(2010),91%,https://www.rottentomatoes.com/m/elite_squad_the_enemy_within
48,	Point Break,(1991),69%,https://www.rottentomatoes.com/m/point_break
49,	The Long Kiss Goodnight,(1996),69%,https://www.rottentomatoes.com/m/long_kiss_goodnight
50,	The Guest,(2014),92%,https://www.rottentomatoes.com/m/the_guest_2014
51,	Taken,(2008),59%,https://www.rottentomatoes.com/m/taken
52,	300,(2006),61%,https://www.rottentomatoes.com/m/300
53,	True Lies,(1994),69%,https://www.rottentomatoes.com/m/true_lies
54,	Demolition Man,(1993),62%,https://www.rottentomatoes.com/m/demolition_man
55,	Hardcore Henry,(2015),51%,https://www.rottentomatoes.com/m/hardcore_henry
56,	Police Story,(1985),93%,https://www.rottentomatoes.com/m/police_story
57,	Brotherhood of the Wolf,(2001),73%,https://www.rottentomatoes.com/m/brotherhood_of_the_wolf
58,	Kingsman: The Secret Service,(2014),75%,https://www.rottentomatoes.com/m/kingsman_the_secret_service
59,	The Fifth Element,(1997),70%,https://www.rottentomatoes.com/m/fifth_element
60,	Big Trouble in Little China,(1986),75%,https://www.rottentomatoes.com/m/big_trouble_in_little_china
61,	Atomic Blonde,(2017),79%,https://www.rottentomatoes.com/m/atomic_blonde_2017
62,	Rumble in the Bronx,(1995),80%,https://www.rottentomatoes.com/m/rumble_in_the_bronx
63,	District B13,(2004),80%,https://www.rottentomatoes.com/m/district_b13
64,	Beverly Hills Cop,(1984),83%,https://www.rottentomatoes.com/m/beverly_hills_cop
65,	Ong-Bak: The Thai Warrior,(2003),85%,https://www.rottentomatoes.com/m/ongbak
66,	Collateral,(2004),86%,https://www.rottentomatoes.com/m/collateral
67,	Iron Monkey,(1993),91%,https://www.rottentomatoes.com/m/1075984-iron_monkey
68,	Escape From New York,(1981),87%,https://www.rottentomatoes.com/m/1006717-escape_from_new_york
69,	Battle Royale,(2000),88%,https://www.rottentomatoes.com/m/battle_royale
70,	Spider-Man 2,(2004),93%,https://www.rottentomatoes.com/m/spiderman_2
71,	13 Assassins,(2010),95%,https://www.rottentomatoes.com/m/13_assassins_2011
72,	Full Contact,(1992),88%,https://www.rottentomatoes.com/m/full_contact
73,	Indiana Jones and the Last Crusade,(1989),88%,https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade
74,	Kung Fu Hustle,(2004),90%,https://www.rottentomatoes.com/m/kung_fu_hustle
75,	A Better Tomorrow,(1986),93%,https://www.rottentomatoes.com/m/better_tomorrow
76,	Iron Man,(2008),94%,https://www.rottentomatoes.com/m/iron_man
77,	The Night Comes for Us,(2018),91%,https://www.rottentomatoes.com/m/the_night_comes_for_us
78,	Logan,(2017),94%,https://www.rottentomatoes.com/m/logan_2017
79,	Goldfinger,(1964),99%,https://www.rottentomatoes.com/m/goldfinger
80,	Assault on Precinct 13,(1976),95%,https://www.rottentomatoes.com/m/1001280-assault_on_precinct_13
81,	Wonder Woman,(2017),93%,https://www.rottentomatoes.com/m/wonder_woman_2017
82,	The Chinese Connection,(1972),83%,https://www.rottentomatoes.com/m/chinese_connection
83,	Captain America: The Winter Soldier,(2014),90%,https://www.rottentomatoes.com/m/captain_america_the_winter_soldier_2014
84,	Oldboy,(2003),81%,https://www.rottentomatoes.com/m/oldboy
85,	The French Connection,(1971),97%,https://www.rottentomatoes.com/m/french_connection
86,	Furious 7,(2015),82%,https://www.rottentomatoes.com/m/furious_7
87,	La Femme Nikita,(1990),89%,https://www.rottentomatoes.com/m/la_femme_nikita
88,	Supercop,(1992),96%,https://www.rottentomatoes.com/m/supercop
89,	Dirty Harry,(1971),88%,https://www.rottentomatoes.com/m/dirty_harry
90,	Edge of Tomorrow,(2014),91%,https://www.rottentomatoes.com/m/live_die_repeat_edge_of_tomorrow
91,	X2,(2003),85%,https://www.rottentomatoes.com/m/x2_xmen_united
92,	The Fugitive,(1993),96%,https://www.rottentomatoes.com/m/1046129-fugitive
93,	Black Panther,(2018),96%,https://www.rottentomatoes.com/m/black_panther_2018
94,	Inception,(2010),87%,https://www.rottentomatoes.com/m/inception
95,	Braveheart,(1995),78%,https://www.rottentomatoes.com/m/1065684-braveheart
96,	Minority Report,(2002),90%,https://www.rottentomatoes.com/m/minority_report
97,	Avengers: Endgame,(2019),94%,https://www.rottentomatoes.com/m/avengers_endgame
98,	Dredd,(2012),79%,https://www.rottentomatoes.com/m/dredd
99,	The Bourne Identity,(2002),84%,https://www.rottentomatoes.com/m/bourne_identity
100,	Ip Man,(2008),86%,https://www.rottentomatoes.com/m/ip_man
101,	Face/Off,(1997),92%,https://www.rottentomatoes.com/m/faceoff
102,	To Live and Die in L.A.,(1985),85%,https://www.rottentomatoes.com/m/to_live_and_die_in_la
103,	The Dark Knight,(2008),94%,https://www.rottentomatoes.com/m/the_dark_knight
104,	Mission: Impossible -- Ghost Protocol,(2011),93%,https://www.rottentomatoes.com/m/mission_impossible_ghost_protocol
105,	Fast Five,(2011),77%,https://www.rottentomatoes.com/m/fast_five
106,	Lethal Weapon,(1987),80%,https://www.rottentomatoes.com/m/lethal_weapon
107,	The Rock,(1996),68%,https://www.rottentomatoes.com/m/1072011-rock
108,	RoboCop,(1987),90%,https://www.rottentomatoes.com/m/1017712-robocop
109,	John Wick: Chapter 2,(2017),89%,https://www.rottentomatoes.com/m/john_wick_chapter_2
110,	Casino Royale,(2006),94%,https://www.rottentomatoes.com/m/casino_royale
111,	Baby Driver,(2017),92%,https://www.rottentomatoes.com/m/baby_driver
112,	Fist of Legend,(1994),100%,https://www.rottentomatoes.com/m/fist_of_legend
113,	The Killer,(1989),98%,https://www.rottentomatoes.com/m/1032434-killer
114,	The Raid 2,(2014),82%,https://www.rottentomatoes.com/m/the_raid_2
115,	Enter the Dragon,(1973),95%,https://www.rottentomatoes.com/m/enter_the_dragon
116,	Commando,(1985),69%,https://www.rottentomatoes.com/m/1004567-commando
117,	First Blood,(1982),87%,https://www.rottentomatoes.com/m/first_blood
118,	Mission: Impossible Rogue Nation,(2015),94%,https://www.rottentomatoes.com/m/mission_impossible_rogue_nation
119,	The Terminator,(1984),100%,https://www.rottentomatoes.com/m/terminator
120,	,(),,https:
121,	Kill Bill: Vol. 1,(2003),85%,https://www.rottentomatoes.com/m/kill_bill_vol_1
122,	The Professional,(1994),73%,https://www.rottentomatoes.com/m/leon_the_professional
123,	Speed,(1994),94%,https://www.rottentomatoes.com/m/speed_1994
124,	Drunken Master II,(1994),84%,https://www.rottentomatoes.com/m/legend_of_drunken_master
125,	John Wick,(2014),86%,https://www.rottentomatoes.com/m/john_wick
126,	"Crouching Tiger, Hidden Dragon",(2000),97%,https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon
127,	Predator,(1987),81%,https://www.rottentomatoes.com/m/predator
128,	The Bourne Ultimatum,(2007),92%,https://www.rottentomatoes.com/m/bourne_ultimatum
129,	Total Recall,(1990),82%,https://www.rottentomatoes.com/m/total_recall
130,	Mad Max 2,(1981),94%,https://www.rottentomatoes.com/m/mad_max_2_the_road_warrior
131,	Heat,(1995),87%,https://www.rottentomatoes.com/m/heat_1995
132,	The Raid: Redemption,(2011),87%,https://www.rottentomatoes.com/m/the_raid_redemption
133,	Mission: Impossible -- Fallout,(2018),97%,https://www.rottentomatoes.com/m/mission_impossible_fallout
134,	Raiders of the Lost Ark,(1981),95%,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark
135,	Aliens,(1986),97%,https://www.rottentomatoes.com/m/1000617-aliens
136,	Hard-Boiled,(1992),94%,https://www.rottentomatoes.com/m/hard_boiled
137,	The Matrix,(1999),88%,https://www.rottentomatoes.com/m/matrix
138,	Terminator 2: Judgment Day,(1991),93%,https://www.rottentomatoes.com/m/terminator_2_judgment_day
139,	Die Hard,(1988),94%,https://www.rottentomatoes.com/m/die_hard
140,	Mad Max: Fury Road,(2015),97%,https://www.rottentomatoes.com/m/mad_max_fury_road
